article_id,index_group_name,ranked
403448008,Baby/Children,1
309864002,Baby/Children,2
686265006,Baby/Children,3
552370002,Baby/Children,4
554541016,Baby/Children,5
706016001,Divided,1
706016002,Divided,2
706016003,Divided,3
448509014,Divided,4
706016001,Divided,5
562245001,Ladieswear,1
351484002,Ladieswear,2
590928001,Ladieswear,3
741356002,Ladieswear,4
688537004,Ladieswear,5
685814001,Menswear,1
685816002,Menswear,2
685813001,Menswear,3
685814003,Menswear,4
685816001,Menswear,5
720125001,Sport,1
484398001,Sport,2
564786001,Sport,3
720125001,Sport,4
484398001,Sport,5
